_id,augment_ids,champion_id,win_rate,sample_size,tier,patch_version,updated_at
"1071_1134_1181_6_26.12",1071,1134,1181,6,"0","193","S",26.12,2026-06-27T10:58:38.797Z
"1134_1181_2102_6_26.12",1134,1181,2102,6,"0","150","S",26.12,2026-06-27T10:58:38.797Z
"1020_1081_2102_6_26.12",1020,1081,2102,6,"0","149","S",26.12,2026-06-27T10:58:38.797Z
"1081_1087_1181_6_26.12",1081,1087,1181,6,"0","134","S",26.12,2026-06-27T10:58:38.797Z
"1007_1081_1181_6_26.12",1007,1081,1181,6,"0","125","S",26.12,2026-06-27T10:58:38.797Z
"1071_1134_1138_6_26.12",1071,1134,1138,6,"0","119","S",26.12,2026-06-27T10:58:38.797Z
"1134_1138_1181_6_26.12",1134,1138,1181,6,"0","114","S",26.12,2026-06-27T10:58:38.797Z
"1081_1134_1181_6_26.12",1081,1134,1181,6,"0","105","S",26.12,2026-06-27T10:58:38.797Z
"1071_1081_1181_6_26.12",1071,1081,1181,6,"0","344","A",26.12,2026-06-27T10:58:38.797Z
"1087_1181_2102_6_26.12",1087,1181,2102,6,"0","107","A",26.12,2026-06-27T10:58:38.797Z
"1030_1133_2132_7_26.12",1030,1133,2132,7,"0","234","S",26.12,2026-06-27T10:58:39.448Z
"1030_1390_2132_7_26.12",1030,1390,2132,7,"0","225","S",26.12,2026-06-27T10:58:39.448Z
"1030_1073_2132_7_26.12",1030,1073,2132,7,"0","185","S",26.12,2026-06-27T10:58:39.448Z
"1073_1133_2132_7_26.12",1073,1133,2132,7,"0","147","S",26.12,2026-06-27T10:58:39.448Z
"1097_2054_2132_7_26.12",1097,2054,2132,7,"0","126","S",26.12,2026-06-27T10:58:39.448Z
"1073_1390_2132_7_26.12",1073,1390,2132,7,"0","120","S",26.12,2026-06-27T10:58:39.448Z
"1097_1180_1390_7_26.12",1097,1180,1390,7,"0","106","S",26.12,2026-06-27T10:58:39.448Z
"1073_1211_2132_7_26.12",1073,1211,2132,7,"0","101","S",26.12,2026-06-27T10:58:39.448Z
"1030_1133_1390_7_26.12",1030,1133,1390,7,"0","186","A",26.12,2026-06-27T10:58:39.448Z
