_id,champion_id,item_id,win_rate,pick_rate,sample_size,tier,patch_version,updated_at
"1_228002_26.12",1,228002,53.07,9,3015,"A","26.12","2026-06-27T10:58:38.105Z"
"1_994403_26.12",1,994403,52.63,0.17,57,"D","26.12","2026-06-27T10:58:38.105Z"
"2_1001_26.12",2,1001,46.67,2.09,390,"B","26.12","2026-06-27T10:58:38.106Z"
"2_1006_26.12",2,1006,58.75,0.43,80,"D","26.12","2026-06-27T10:58:38.106Z"
"2_1011_26.12",2,1011,44.74,1.22,228,"C","26.12","2026-06-27T10:58:38.106Z"
"2_1018_26.12",2,1018,48.39,0.67,124,"C","26.12","2026-06-27T10:58:38.106Z"
"2_1028_26.12",2,1028,50.89,5.42,1010,"A","26.12","2026-06-27T10:58:38.106Z"
"2_1029_26.12",2,1029,53.71,1.52,283,"B","26.12","2026-06-27T10:58:38.106Z"
"2_1031_26.12",2,1031,39.45,0.59,109,"D","26.12","2026-06-27T10:58:38.106Z"
"2_1033_26.12",2,1033,50.79,1.35,252,"B","26.12","2026-06-27T10:58:38.106Z"
"2_1036_26.12",2,1036,53.53,6.77,1261,"A","26.12","2026-06-27T10:58:38.106Z"
"2_1037_26.12",2,1037,47.92,4.65,866,"A","26.12","2026-06-27T10:58:38.106Z"
"2_1038_26.12",2,1038,50.28,0.95,177,"C","26.12","2026-06-27T10:58:38.106Z"
"2_1042_26.12",2,1042,50.66,2.43,452,"B","26.12","2026-06-27T10:58:38.106Z"
"2_1043_26.12",2,1043,43.69,2.77,515,"B","26.12","2026-06-27T10:58:38.106Z"
"2_1053_26.12",2,1053,47.16,7.29,1357,"A","26.12","2026-06-27T10:58:38.106Z"
"2_1057_26.12",2,1057,51.76,0.46,85,"D","26.12","2026-06-27T10:58:38.106Z"
"2_2019_26.12",2,2019,46.99,5.61,1045,"A","26.12","2026-06-27T10:58:38.106Z"
"2_2021_26.12",2,2021,50.25,7.61,1417,"A","26.12","2026-06-27T10:58:38.106Z"
"2_2022_26.12",2,2022,56.16,1.18,219,"C","26.12","2026-06-27T10:58:38.106Z"
"2_2031_26.12",2,2031,46.02,4.86,904,"A","26.12","2026-06-27T10:58:38.106Z"
"2_2052_26.12",2,2052,51.65,32.58,6066,"S","26.12","2026-06-27T10:58:38.106Z"
"2_2501_26.12",2,2501,48.81,4.05,754,"A","26.12","2026-06-27T10:58:38.106Z"
"2_2502_26.12",2,2502,46.74,0.99,184,"C","26.12","2026-06-27T10:58:38.106Z"
"2_2504_26.12",2,2504,47.26,0.78,146,"C","26.12","2026-06-27T10:58:38.106Z"
"2_2512_26.12",2,2512,53.8,4.66,868,"A","26.12","2026-06-27T10:58:38.106Z"
"2_2517_26.12",2,2517,50,2.99,556,"A","26.12","2026-06-27T10:58:38.106Z"
"2_3006_26.12",2,3006,52.3,3.27,608,"A","26.12","2026-06-27T10:58:38.106Z"
"2_3008_26.12",2,3008,50.89,12.38,2305,"A","26.12","2026-06-27T10:58:38.106Z"
"2_3009_26.12",2,3009,48.59,4.01,747,"A","26.12","2026-06-27T10:58:38.106Z"
"2_3031_26.12",2,3031,52.45,6.8,1266,"A","26.12","2026-06-27T10:58:38.106Z"
"2_3032_26.12",2,3032,54.64,0.52,97,"D","26.12","2026-06-27T10:58:38.106Z"
"2_3033_26.12",2,3033,45.6,1.34,250,"C","26.12","2026-06-27T10:58:38.106Z"
"2_3035_26.12",2,3035,48.08,0.28,52,"D","26.12","2026-06-27T10:58:38.106Z"
"2_3036_26.12",2,3036,54.05,1.79,333,"B","26.12","2026-06-27T10:58:38.106Z"
"2_3039_26.12",2,3039,50.83,0.64,120,"C","26.12","2026-06-27T10:58:38.106Z"
"2_3044_26.12",2,3044,42.71,2.1,391,"B","26.12","2026-06-27T10:58:38.106Z"
"2_3046_26.12",2,3046,53.78,1.35,251,"C","26.12","2026-06-27T10:58:38.106Z"
"2_3047_26.12",2,3047,49.02,24.95,4645,"S","26.12","2026-06-27T10:58:38.106Z"
"2_3053_26.12",2,3053,48.7,11.19,2084,"A","26.12","2026-06-27T10:58:38.106Z"
"2_3065_26.12",2,3065,49.34,36.41,6779,"S","26.12","2026-06-27T10:58:38.106Z"
"2_3067_26.12",2,3067,48.46,2.44,454,"B","26.12","2026-06-27T10:58:38.106Z"
"2_3068_26.12",2,3068,46.28,0.65,121,"C","26.12","2026-06-27T10:58:38.106Z"
"2_3070_26.12",2,3070,42.19,0.34,64,"D","26.12","2026-06-27T10:58:38.106Z"
"2_3071_26.12",2,3071,46.67,2.42,450,"B","26.12","2026-06-27T10:58:38.106Z"
"2_3072_26.12",2,3072,47,3.5,651,"A","26.12","2026-06-27T10:58:38.106Z"
"2_3073_26.12",2,3073,50.21,75.75,14104,"S","26.12","2026-06-27T10:58:38.106Z"
"2_3074_26.12",2,3074,51.61,22.86,4257,"S","26.12","2026-06-27T10:58:38.106Z"
"2_3075_26.12",2,3075,41.52,7.63,1421,"A","26.12","2026-06-27T10:58:38.106Z"
"2_3076_26.12",2,3076,47.1,1.48,276,"B","26.12","2026-06-27T10:58:38.106Z"
"2_3077_26.12",2,3077,48.5,1.62,301,"B","26.12","2026-06-27T10:58:38.106Z"
"2_3078_26.12",2,3078,50.67,1.2,223,"C","26.12","2026-06-27T10:58:38.106Z"
"2_3082_26.12",2,3082,53.04,0.62,115,"D","26.12","2026-06-27T10:58:38.106Z"
"2_3083_26.12",2,3083,46.52,2.85,531,"B","26.12","2026-06-27T10:58:38.106Z"
"2_3084_26.12",2,3084,46.97,15,2793,"S","26.12","2026-06-27T10:58:38.106Z"
"2_3086_26.12",2,3086,53.13,0.34,64,"D","26.12","2026-06-27T10:58:38.106Z"
"2_3091_26.12",2,3091,49.27,1.1,205,"C","26.12","2026-06-27T10:58:38.106Z"
"2_3110_26.12",2,3110,34.78,0.37,69,"D","26.12","2026-06-27T10:58:38.106Z"
"2_3111_26.12",2,3111,49.67,42.94,7994,"S","26.12","2026-06-27T10:58:38.106Z"
"2_3123_26.12",2,3123,43.26,0.76,141,"C","26.12","2026-06-27T10:58:38.106Z"
"2_3124_26.12",2,3124,55.74,0.33,61,"D","26.12","2026-06-27T10:58:38.106Z"
"2_3133_26.12",2,3133,48.03,5.04,939,"A","26.12","2026-06-27T10:58:38.106Z"
"2_3142_26.12",2,3142,50.82,0.33,61,"D","26.12","2026-06-27T10:58:38.106Z"
"2_3143_26.12",2,3143,45.81,3.14,585,"A","26.12","2026-06-27T10:58:38.106Z"
"2_3153_26.12",2,3153,48.1,33.28,6197,"S","26.12","2026-06-27T10:58:38.106Z"
"2_3155_26.12",2,3155,55.56,0.92,171,"C","26.12","2026-06-27T10:58:38.106Z"
"2_3156_26.12",2,3156,54.04,5.45,1014,"A","26.12","2026-06-27T10:58:38.106Z"
"2_3158_26.12",2,3158,47.06,0.27,51,"D","26.12","2026-06-27T10:58:38.106Z"
"2_3161_26.12",2,3161,48.21,0.3,56,"D","26.12","2026-06-27T10:58:38.106Z"
"2_3211_26.12",2,3211,50.35,3.81,709,"A","26.12","2026-06-27T10:58:38.106Z"
