_id,riot_id,win_rate,pick_rate,champions_count,tier,patch_version,updated_at
"1115",1115,51.69,8.85,54,"B","26.12","2026-06-27T11:00:24.535Z"
"1384",1384,51.67,1.41,105,"B","26.12","2026-06-27T11:00:24.535Z"
"1036",1036,51.64,1.1,29,"B","26.12","2026-06-27T11:00:24.535Z"
"1180",1180,51.64,7.58,58,"B","26.12","2026-06-27T11:00:24.535Z"
"1013",1013,51.53,8.68,72,"B","26.12","2026-06-27T11:00:24.535Z"
"1074",1074,51.43,0.71,19,"B","26.12","2026-06-27T11:00:24.535Z"
"2062",2062,51.43,4.93,14,"B","26.12","2026-06-27T11:00:24.535Z"
"1305",1305,51.35,1.35,126,"B","26.12","2026-06-27T11:00:24.535Z"
"2089",2089,51.35,0.49,52,"B","26.12","2026-06-27T11:00:24.535Z"
"1098",1098,51.33,4.62,76,"B","26.12","2026-06-27T11:00:24.535Z"
"1402",1402,51.32,0.32,95,"B","26.12","2026-06-27T11:00:24.535Z"
"1076",1076,51.28,14.44,18,"B","26.12","2026-06-27T11:00:24.535Z"
"1150",1150,51.28,1.54,28,"B","26.12","2026-06-27T11:00:24.535Z"
"2096",2096,51.28,20.98,18,"B","26.12","2026-06-27T11:00:24.535Z"
"1068",1068,51.25,2.13,79,"B","26.12","2026-06-27T11:00:24.535Z"
"1116",1116,51.22,0.73,66,"B","26.12","2026-06-27T11:00:24.535Z"
"1038",1038,51.2,1.14,81,"B","26.12","2026-06-27T11:00:24.535Z"
"1060",1060,51.17,1.23,105,"B","26.12","2026-06-27T11:00:24.535Z"
"1044",1044,51.1,8.05,39,"B","26.12","2026-06-27T11:00:24.535Z"
"1315",1315,51.09,1.24,65,"B","26.12","2026-06-27T11:00:24.535Z"
"2076",2076,51.09,6.29,15,"B","26.12","2026-06-27T11:00:24.535Z"
"2123",2123,51.07,4.66,23,"B","26.12","2026-06-27T11:00:24.535Z"
"1996",1996,51.03,11.57,18,"B","26.12","2026-06-27T11:00:24.535Z"
"1037",1037,51.01,22.16,17,"B","26.12","2026-06-27T11:00:24.535Z"
"1238",1238,51,3.93,108,"B","26.12","2026-06-27T11:00:24.535Z"
"1056",1056,50.92,4.42,72,"B","26.12","2026-06-27T11:00:24.535Z"
"1386",1386,50.92,0.28,43,"B","26.12","2026-06-27T11:00:24.535Z"
"1087",1087,50.83,7.03,51,"B","26.12","2026-06-27T11:00:24.535Z"
"1379",1379,50.83,4.1,10,"B","26.12","2026-06-27T11:00:24.535Z"
