_id,augment_ids,champion_id,win_rate,sample_size,tier,patch_version,updated_at
1081_1134_1181_null_26.12,"[1081,1134,1181]",,0,105,S,26.12,2026-06-29T10:17:34.720Z
1071_1081_1181_null_26.12,"[1071,1081,1181]",,0,344,A,26.12,2026-06-29T10:17:34.720Z
1087_1181_2102_null_26.12,"[1087,1181,2102]",,0,107,A,26.12,2026-06-29T10:17:34.720Z
1030_1133_2132_null_26.12,"[1030,1133,2132]",,0,234,S,26.12,2026-06-29T10:17:34.720Z
1030_1390_2132_null_26.12,"[1030,1390,2132]",,0,225,S,26.12,2026-06-29T10:17:34.720Z
1030_1073_2132_null_26.12,"[1030,1073,2132]",,0,185,S,26.12,2026-06-29T10:17:34.720Z
1073_1133_2132_null_26.12,"[1073,1133,2132]",,0,147,S,26.12,2026-06-29T10:17:34.720Z
1097_2054_2132_null_26.12,"[1097,2054,2132]",,0,126,S,26.12,2026-06-29T10:17:34.720Z
1073_1390_2132_null_26.12,"[1073,1390,2132]",,0,120,S,26.12,2026-06-29T10:17:34.720Z
1097_1180_1390_null_26.12,"[1097,1180,1390]",,0,106,S,26.12,2026-06-29T10:17:34.720Z
1073_1211_2132_null_26.12,"[1073,1211,2132]",,0,101,S,26.12,2026-06-29T10:17:34.720Z
1030_1133_1390_null_26.12,"[1030,1133,1390]",,0,186,A,26.12,2026-06-29T10:17:34.720Z
1019_1133_2132_null_26.12,"[1019,1133,2132]",,0,108,A,26.12,2026-06-29T10:17:34.720Z
1030_1390_2132_null_26.12,"[1030,1390,2132]",,0,634,S,26.12,2026-06-29T10:17:34.720Z
1030_1098_1390_null_26.12,"[1030,1098,1390]",,0,283,S,26.12,2026-06-29T10:17:34.720Z
1030_1390_2018_null_26.12,"[1030,1390,2018]",,0,177,S,26.12,2026-06-29T10:17:34.720Z
1030_1098_2018_null_26.12,"[1030,1098,2018]",,0,171,S,26.12,2026-06-29T10:17:34.720Z
1030_1318_1390_null_26.12,"[1030,1318,1390]",,0,170,S,26.12,2026-06-29T10:17:34.720Z
1030_1156_2132_null_26.12,"[1030,1156,2132]",,0,135,S,26.12,2026-06-29T10:17:34.720Z
1030_1098_2076_null_26.12,"[1030,1098,2076]",,0,124,S,26.12,2026-06-29T10:17:34.720Z
1098_1156_2132_null_26.12,"[1098,1156,2132]",,0,114,S,26.12,2026-06-29T10:17:34.720Z
1030_1045_1390_null_26.12,"[1030,1045,1390]",,0,113,S,26.12,2026-06-29T10:17:34.720Z
1030_1098_1388_null_26.12,"[1030,1098,1388]",,0,112,S,26.12,2026-06-29T10:17:34.720Z
1318_1390_2132_null_26.12,"[1318,1390,2132]",,0,311,S,26.12,2026-06-29T10:17:34.720Z
1194_1211_2132_null_26.12,"[1194,1211,2132]",,0,234,S,26.12,2026-06-29T10:17:34.720Z
1097_1318_2132_null_26.12,"[1097,1318,2132]",,0,195,S,26.12,2026-06-29T10:17:34.720Z
1030_1318_1390_null_26.12,"[1030,1318,1390]",,0,193,S,26.12,2026-06-29T10:17:34.720Z
1045_1318_1390_null_26.12,"[1045,1318,1390]",,0,190,S,26.12,2026-06-29T10:17:34.720Z
1097_1156_2132_null_26.12,"[1097,1156,2132]",,0,156,S,26.12,2026-06-29T10:17:34.720Z
1045_1097_1390_null_26.12,"[1045,1097,1390]",,0,136,S,26.12,2026-06-29T10:17:34.720Z
1133_1390_2132_null_26.12,"[1133,1390,2132]",,0,136,S,26.12,2026-06-29T10:17:34.720Z
1030_1211_1318_null_26.12,"[1030,1211,1318]",,0,136,S,26.12,2026-06-29T10:17:34.720Z
1156_1211_1318_null_26.12,"[1156,1211,1318]",,0,130,S,26.12,2026-06-29T10:17:34.720Z
1054_1129_2132_null_26.12,"[1054,1129,2132]",,0,555,S,26.12,2026-06-29T10:17:34.720Z
1054_1071_2132_null_26.12,"[1054,1071,2132]",,0,528,S,26.12,2026-06-29T10:17:34.720Z
1029_1071_1115_null_26.12,"[1029,1071,1115]",,0,362,S,26.12,2026-06-29T10:17:34.720Z
1054_1087_1129_null_26.12,"[1054,1087,1129]",,0,296,S,26.12,2026-06-29T10:17:34.720Z
1029_1054_1129_null_26.12,"[1029,1054,1129]",,0,289,S,26.12,2026-06-29T10:17:34.720Z
1022_1054_2132_null_26.12,"[1022,1054,2132]",,0,261,S,26.12,2026-06-29T10:17:34.720Z
1029_1054_1071_null_26.12,"[1029,1054,1071]",,0,253,S,26.12,2026-06-29T10:17:34.720Z
1051_1129_1225_null_26.12,"[1051,1129,1225]",,0,246,S,26.12,2026-06-29T10:17:34.720Z
1054_1129_1225_null_26.12,"[1054,1129,1225]",,0,245,S,26.12,2026-06-29T10:17:34.720Z
1029_1071_1170_null_26.12,"[1029,1071,1170]",,0,236,S,26.12,2026-06-29T10:17:34.720Z
1058_1087_2096_null_26.12,"[1058,1087,2096]",,0,272,S,26.12,2026-06-29T10:17:34.720Z
1007_1336_2096_null_26.12,"[1007,1336,2096]",,0,212,S,26.12,2026-06-29T10:17:34.720Z
1079_1326_2096_null_26.12,"[1079,1326,2096]",,0,168,S,26.12,2026-06-29T10:17:34.720Z
1019_1058_2096_null_26.12,"[1019,1058,2096]",,0,160,S,26.12,2026-06-29T10:17:34.720Z
1007_1079_2096_null_26.12,"[1007,1079,2096]",,0,157,S,26.12,2026-06-29T10:17:34.720Z
1019_1058_1138_null_26.12,"[1019,1058,1138]",,0,156,S,26.12,2026-06-29T10:17:34.720Z
1058_1344_2096_null_26.12,"[1058,1344,2096]",,0,155,S,26.12,2026-06-29T10:17:34.720Z
1058_1112_2096_null_26.12,"[1058,1112,2096]",,0,152,S,26.12,2026-06-29T10:17:34.720Z
1138_1225_2096_null_26.12,"[1138,1225,2096]",,0,151,S,26.12,2026-06-29T10:17:34.720Z
1320_1336_2096_null_26.12,"[1320,1336,2096]",,0,144,S,26.12,2026-06-29T10:17:34.720Z
1353_2006_2102_null_26.12,"[1353,2006,2102]",,0,481,S,26.12,2026-06-29T10:17:34.720Z
1181_1353_2102_null_26.12,"[1181,1353,2102]",,0,353,S,26.12,2026-06-29T10:17:34.720Z
1181_2006_2102_null_26.12,"[1181,2006,2102]",,0,347,S,26.12,2026-06-29T10:17:34.720Z
1041_1353_2102_null_26.12,"[1041,1353,2102]",,0,345,S,26.12,2026-06-29T10:17:34.720Z
1319_1353_2102_null_26.12,"[1319,1353,2102]",,0,278,S,26.12,2026-06-29T10:17:34.720Z
1353_1375_2102_null_26.12,"[1353,1375,2102]",,0,270,S,26.12,2026-06-29T10:17:34.720Z
1041_1181_2102_null_26.12,"[1041,1181,2102]",,0,259,S,26.12,2026-06-29T10:17:34.720Z
1319_1353_1361_null_26.12,"[1319,1353,1361]",,0,249,S,26.12,2026-06-29T10:17:34.720Z
1013_1353_2102_null_26.12,"[1013,1353,2102]",,0,241,S,26.12,2026-06-29T10:17:34.720Z
1181_1353_1361_null_26.12,"[1181,1353,1361]",,0,241,S,26.12,2026-06-29T10:17:34.720Z
1004_1056_1311_null_26.12,"[1004,1056,1311]",,0,1297,S,26.12,2026-06-29T10:17:34.720Z
1004_1311_2132_null_26.12,"[1004,1311,2132]",,0,1153,S,26.12,2026-06-29T10:17:34.720Z
1056_1311_1390_null_26.12,"[1056,1311,1390]",,0,984,S,26.12,2026-06-29T10:17:34.720Z
1004_1056_2132_null_26.12,"[1004,1056,2132]",,0,735,S,26.12,2026-06-29T10:17:34.720Z
1311_1390_2132_null_26.12,"[1311,1390,2132]",,0,729,S,26.12,2026-06-29T10:17:34.720Z
1056_1311_2123_null_26.12,"[1056,1311,2123]",,0,593,S,26.12,2026-06-29T10:17:34.720Z
1056_1390_2132_null_26.12,"[1056,1390,2132]",,0,561,S,26.12,2026-06-29T10:17:34.720Z
1311_2123_2132_null_26.12,"[1311,2123,2132]",,0,537,S,26.12,2026-06-29T10:17:34.720Z
1004_1311_1390_null_26.12,"[1004,1311,1390]",,0,535,S,26.12,2026-06-29T10:17:34.720Z
1056_1156_1311_null_26.12,"[1056,1156,1311]",,0,522,S,26.12,2026-06-29T10:17:34.720Z
1152_1353_2006_null_26.12,"[1152,1353,2006]",,0,1526,S,26.12,2026-06-29T10:17:34.720Z
1152_1181_1353_null_26.12,"[1152,1181,1353]",,0,1509,S,26.12,2026-06-29T10:17:34.720Z
1041_1152_1181_null_26.12,"[1041,1152,1181]",,0,1312,S,26.12,2026-06-29T10:17:34.720Z
1353_2006_2102_null_26.12,"[1353,2006,2102]",,0,780,S,26.12,2026-06-29T10:17:34.720Z
1181_1353_2102_null_26.12,"[1181,1353,2102]",,0,774,S,26.12,2026-06-29T10:17:34.720Z
1041_1152_2006_null_26.12,"[1041,1152,2006]",,0,650,S,26.12,2026-06-29T10:17:34.720Z
1041_1181_2102_null_26.12,"[1041,1181,2102]",,0,646,S,26.12,2026-06-29T10:17:34.720Z
1041_1353_2102_null_26.12,"[1041,1353,2102]",,0,600,S,26.12,2026-06-29T10:17:34.720Z
1152_1181_2102_null_26.12,"[1152,1181,2102]",,0,408,S,26.12,2026-06-29T10:17:34.720Z
1319_1353_1361_null_26.12,"[1319,1353,1361]",,0,406,S,26.12,2026-06-29T10:17:34.720Z
1022_1225_1356_null_26.12,"[1022,1225,1356]",,0,524,S,26.12,2026-06-29T10:17:34.720Z
1022_1336_1356_null_26.12,"[1022,1336,1356]",,0,517,S,26.12,2026-06-29T10:17:34.720Z
1071_1336_1356_null_26.12,"[1071,1336,1356]",,0,514,S,26.12,2026-06-29T10:17:34.720Z
1077_1225_1356_null_26.12,"[1077,1225,1356]",,0,491,S,26.12,2026-06-29T10:17:34.720Z
1071_1225_1356_null_26.12,"[1071,1225,1356]",,0,483,S,26.12,2026-06-29T10:17:34.720Z
1022_1225_1336_null_26.12,"[1022,1225,1336]",,0,475,S,26.12,2026-06-29T10:17:34.720Z
1077_1336_1356_null_26.12,"[1077,1336,1356]",,0,455,S,26.12,2026-06-29T10:17:34.720Z
1225_1328_1356_null_26.12,"[1225,1328,1356]",,0,406,S,26.12,2026-06-29T10:17:34.720Z
1077_1225_1336_null_26.12,"[1077,1225,1336]",,0,400,S,26.12,2026-06-29T10:17:34.720Z
1195_1336_1356_null_26.12,"[1195,1336,1356]",,0,395,S,26.12,2026-06-29T10:17:34.720Z
1037_1095_1141_null_26.12,"[1037,1095,1141]",,0,666,S,26.12,2026-06-29T10:17:34.720Z
1005_1037_1095_null_26.12,"[1005,1037,1095]",,0,549,S,26.12,2026-06-29T10:17:34.720Z
1005_1095_1141_null_26.12,"[1005,1095,1141]",,0,487,S,26.12,2026-06-29T10:17:34.720Z
1037_1095_1420_null_26.12,"[1037,1095,1420]",,0,445,S,26.12,2026-06-29T10:17:34.720Z
1095_1141_1420_null_26.12,"[1095,1141,1420]",,0,396,S,26.12,2026-06-29T10:17:34.720Z
1037_1076_1095_null_26.12,"[1037,1076,1095]",,0,387,S,26.12,2026-06-29T10:17:34.720Z
1037_1095_2004_null_26.12,"[1037,1095,2004]",,0,366,S,26.12,2026-06-29T10:17:34.720Z
1005_1015_1037_null_26.12,"[1005,1015,1037]",,0,356,S,26.12,2026-06-29T10:17:34.720Z
1076_1095_1141_null_26.12,"[1076,1095,1141]",,0,352,S,26.12,2026-06-29T10:17:34.720Z
1005_1095_1420_null_26.12,"[1005,1095,1420]",,0,286,S,26.12,2026-06-29T10:17:34.720Z
1029_1030_1133_null_26.12,"[1029,1030,1133]",,0,458,S,26.12,2026-06-29T10:17:34.720Z
1029_1030_1415_null_26.12,"[1029,1030,1415]",,0,350,S,26.12,2026-06-29T10:17:34.720Z
1029_1030_1390_null_26.12,"[1029,1030,1390]",,0,293,S,26.12,2026-06-29T10:17:34.720Z
1029_1133_1195_null_26.12,"[1029,1133,1195]",,0,255,S,26.12,2026-06-29T10:17:34.720Z
1029_1030_1097_null_26.12,"[1029,1030,1097]",,0,225,S,26.12,2026-06-29T10:17:34.720Z
1029_1030_2132_null_26.12,"[1029,1030,2132]",,0,202,S,26.12,2026-06-29T10:17:34.720Z
1029_1133_2087_null_26.12,"[1029,1133,2087]",,0,190,S,26.12,2026-06-29T10:17:34.720Z
